"strategy","v1trans","v2trans","vUptake","relax","R0","virus","other"
"Loose Suppression",90,90,90,0,2.5,11.63,0
"Loose Suppression",90,90,90,0,3.125,160.19,10.71
"Loose Suppression",90,90,90,0,3.75,532.61,158.64
"Loose Suppression",90,90,90,1,2.5,11.63,0
"Loose Suppression",90,90,90,1,3.125,237.32,4.71
"Loose Suppression",90,90,90,1,3.75,906.95,143.29
"Moderate Elimination",50,50,60,0,2.5,9.95,23.91
"Moderate Elimination",50,50,60,0,3.125,21.45,141.55
"Moderate Elimination",50,50,60,0,3.75,37.63,452.8
"Moderate Elimination",50,50,60,1,2.5,12.63,1.78
"Moderate Elimination",50,50,60,1,3.125,30.51,20.77
"Moderate Elimination",50,50,60,1,3.75,102.33,277.22
"Moderate Elimination",50,50,75,0,2.5,8.53,16.29
"Moderate Elimination",50,50,75,0,3.125,17.57,109.94
"Moderate Elimination",50,50,75,0,3.75,32.21,404.65
"Moderate Elimination",50,50,75,1,2.5,10.5,2.23
"Moderate Elimination",50,50,75,1,3.125,22.14,17.15
"Moderate Elimination",50,50,75,1,3.75,71.5,205.56
"Moderate Elimination",50,50,90,0,2.5,6.79,11.14
"Moderate Elimination",50,50,90,0,3.125,15.05,82.72
"Moderate Elimination",50,50,90,0,3.75,26.29,334.74
"Moderate Elimination",50,50,90,1,2.5,8.11,0.91
"Moderate Elimination",50,50,90,1,3.125,18.34,19.37
"Moderate Elimination",50,50,90,1,3.75,49.21,161.43
"Moderate Elimination",50,75,60,0,2.5,9.03,10.17
"Moderate Elimination",50,75,60,0,3.125,18.92,88.52
"Moderate Elimination",50,75,60,0,3.75,35.39,377.82
"Moderate Elimination",50,75,60,1,2.5,10.92,1.78
"Moderate Elimination",50,75,60,1,3.125,24.54,20.91
"Moderate Elimination",50,75,60,1,3.75,67.57,188.89
"Moderate Elimination",50,75,75,0,2.5,7.54,7.79
"Moderate Elimination",50,75,75,0,3.125,15.35,61.85
"Moderate Elimination",50,75,75,0,3.75,29.02,312.03
"Moderate Elimination",50,75,75,1,2.5,8.56,1.78
"Moderate Elimination",50,75,75,1,3.125,18.88,16.06
"Moderate Elimination",50,75,75,1,3.75,47.32,148.89
"Moderate Elimination",50,75,90,0,2.5,5.9,1.36
"Moderate Elimination",50,75,90,0,3.125,12.98,51.43
"Moderate Elimination",50,75,90,0,3.75,24.1,259.64
"Moderate Elimination",50,75,90,1,2.5,6.54,0.91
"Moderate Elimination",50,75,90,1,3.125,14.93,18.93
"Moderate Elimination",50,75,90,1,3.75,33.81,123.85
"Moderate Elimination",50,90,60,0,2.5,8.06,4.08
"Moderate Elimination",50,90,60,0,3.125,17.39,68.24
"Moderate Elimination",50,90,60,0,3.75,33.12,312.24
"Moderate Elimination",50,90,60,1,2.5,9.58,1.78
"Moderate Elimination",50,90,60,1,3.125,22.05,19.63
"Moderate Elimination",50,90,60,1,3.75,56.85,167.44
"Moderate Elimination",50,90,75,0,2.5,6.74,2.7
"Moderate Elimination",50,90,75,0,3.125,13.89,43.43
"Moderate Elimination",50,90,75,0,3.75,26.76,245.05
"Moderate Elimination",50,90,75,1,2.5,7.46,1.78
"Moderate Elimination",50,90,75,1,3.125,15.98,15.6
"Moderate Elimination",50,90,75,1,3.75,39.3,138.25
"Moderate Elimination",50,90,90,0,2.5,5.51,1.36
"Moderate Elimination",50,90,90,0,3.125,11.86,40.6
"Moderate Elimination",50,90,90,0,3.75,21.95,202.73
"Moderate Elimination",50,90,90,1,2.5,5.91,0.91
"Moderate Elimination",50,90,90,1,3.125,13.14,19.39
"Moderate Elimination",50,90,90,1,3.75,28.78,111.61
"Moderate Elimination",75,50,60,0,2.5,8.89,16
"Moderate Elimination",75,50,60,0,3.125,18.51,100.61
"Moderate Elimination",75,50,60,0,3.75,34.01,379.84
"Moderate Elimination",75,50,60,1,2.5,10.96,0.45
"Moderate Elimination",75,50,60,1,3.125,23.7,16.9
"Moderate Elimination",75,50,60,1,3.75,76.53,174.37
"Moderate Elimination",75,50,75,0,2.5,7.17,8.87
"Moderate Elimination",75,50,75,0,3.125,15.13,70.05
"Moderate Elimination",75,50,75,0,3.75,28.06,309.38
"Moderate Elimination",75,50,75,1,2.5,8.46,0.9
"Moderate Elimination",75,50,75,1,3.125,18.79,14.77
"Moderate Elimination",75,50,75,1,3.75,48.16,126.76
"Moderate Elimination",75,50,90,0,2.5,6.09,4.75
"Moderate Elimination",75,50,90,0,3.125,11.8,44.08
"Moderate Elimination",75,50,90,0,3.75,23.13,232.92
"Moderate Elimination",75,50,90,1,2.5,6.62,0.45
"Moderate Elimination",75,50,90,1,3.125,13.99,12.29
"Moderate Elimination",75,50,90,1,3.75,31.66,89.48
"Moderate Elimination",75,75,60,0,2.5,7.84,3.49
"Moderate Elimination",75,75,60,0,3.125,16.31,56.86
"Moderate Elimination",75,75,60,0,3.75,31.13,294.47
"Moderate Elimination",75,75,60,1,2.5,9.36,0.45
"Moderate Elimination",75,75,60,1,3.125,20.57,16.44
"Moderate Elimination",75,75,60,1,3.75,51.21,134.6
"Moderate Elimination",75,75,75,0,2.5,6.41,2.74
"Moderate Elimination",75,75,75,0,3.125,13.23,42.47
"Moderate Elimination",75,75,75,0,3.75,25.17,212.97
"Moderate Elimination",75,75,75,1,2.5,7.2,0.9
"Moderate Elimination",75,75,75,1,3.125,15.91,15.22
"Moderate Elimination",75,75,75,1,3.75,35.38,103.29
"Moderate Elimination",75,75,90,0,2.5,5.39,1.81
"Moderate Elimination",75,75,90,0,3.125,10.46,24.06
"Moderate Elimination",75,75,90,0,3.75,20.55,165.97
"Moderate Elimination",75,75,90,1,2.5,5.73,0.45
"Moderate Elimination",75,75,90,1,3.125,11.6,12.29
"Moderate Elimination",75,75,90,1,3.75,25.77,80.91
"Moderate Elimination",75,90,60,0,2.5,7.34,3.18
"Moderate Elimination",75,90,60,0,3.125,15.23,44.29
"Moderate Elimination",75,90,60,0,3.75,28.8,238.61
"Moderate Elimination",75,90,60,1,2.5,8.21,0.45
"Moderate Elimination",75,90,60,1,3.125,17.67,16.44
"Moderate Elimination",75,90,60,1,3.75,43.03,120.38
"Moderate Elimination",75,90,75,0,2.5,5.86,0.9
"Moderate Elimination",75,90,75,0,3.125,12.41,33.73
"Moderate Elimination",75,90,75,0,3.75,22.85,174.06
"Moderate Elimination",75,90,75,1,2.5,6.48,0.9
"Moderate Elimination",75,90,75,1,3.125,13.76,14.77
"Moderate Elimination",75,90,75,1,3.75,30.52,98.76
"Moderate Elimination",75,90,90,0,2.5,5.02,0.91
"Moderate Elimination",75,90,90,0,3.125,9.57,21.22
"Moderate Elimination",75,90,90,0,3.75,19.02,143.01
"Moderate Elimination",75,90,90,1,2.5,5.17,0.45
"Moderate Elimination",75,90,90,1,3.125,10.38,12.29
"Moderate Elimination",75,90,90,1,3.75,22.56,77.34
"Moderate Elimination",90,50,60,0,2.5,8.25,11.92
"Moderate Elimination",90,50,60,0,3.125,16.86,67.04
"Moderate Elimination",90,50,60,0,3.75,31.12,303.57
"Moderate Elimination",90,50,60,1,2.5,9.79,0.89
"Moderate Elimination",90,50,60,1,3.125,20.78,12.31
"Moderate Elimination",90,50,60,1,3.75,55.16,116.61
"Moderate Elimination",90,50,75,0,2.5,6.57,5.7
"Moderate Elimination",90,50,75,0,3.125,12.9,34.66
"Moderate Elimination",90,50,75,0,3.75,24.92,222.96
"Moderate Elimination",90,50,75,1,2.5,7.51,1.32
"Moderate Elimination",90,50,75,1,3.125,14.83,11.58
"Moderate Elimination",90,50,75,1,3.75,34.44,82.41
"Moderate Elimination",90,50,90,0,2.5,5.37,0.87
"Moderate Elimination",90,50,90,0,3.125,10.2,23.99
"Moderate Elimination",90,50,90,0,3.75,19.99,157.51
"Moderate Elimination",90,50,90,1,2.5,5.9,0
"Moderate Elimination",90,50,90,1,3.125,11.51,9.87
"Moderate Elimination",90,50,90,1,3.75,24.87,66.48
"Moderate Elimination",90,75,60,0,2.5,7.38,4.17
"Moderate Elimination",90,75,60,0,3.125,14.9,40.15
"Moderate Elimination",90,75,60,0,3.75,28.54,238.15
"Moderate Elimination",90,75,60,1,2.5,8.2,0.89
"Moderate Elimination",90,75,60,1,3.125,17.36,12.74
"Moderate Elimination",90,75,60,1,3.75,42.69,104.14
"Moderate Elimination",90,75,75,0,2.5,5.96,2.69
"Moderate Elimination",90,75,75,0,3.125,11.36,21.07
"Moderate Elimination",90,75,75,0,3.75,22.08,150.89
"Moderate Elimination",90,75,75,1,2.5,6.43,1.32
"Moderate Elimination",90,75,75,1,3.125,12.47,11.58
"Moderate Elimination",90,75,75,1,3.75,28.44,77.39
"Moderate Elimination",90,75,90,0,2.5,4.81,0.46
"Moderate Elimination",90,75,90,0,3.125,9.12,14.43
"Moderate Elimination",90,75,90,0,3.75,17.81,115.6
"Moderate Elimination",90,75,90,1,2.5,5.11,0
"Moderate Elimination",90,75,90,1,3.125,9.96,9.87
"Moderate Elimination",90,75,90,1,3.75,20.5,65.32
"Moderate Elimination",90,90,60,0,2.5,6.62,1.76
"Moderate Elimination",90,90,60,0,3.125,13.47,27.28
"Moderate Elimination",90,90,60,0,3.75,26.9,195.32
"Moderate Elimination",90,90,60,1,2.5,7.44,0.89
"Moderate Elimination",90,90,60,1,3.125,15.66,12.31
"Moderate Elimination",90,90,60,1,3.75,36.33,94.04
"Moderate Elimination",90,90,75,0,2.5,5.37,1.32
"Moderate Elimination",90,90,75,0,3.125,10.19,16.01
"Moderate Elimination",90,90,75,0,3.75,20.33,122.83
"Moderate Elimination",90,90,75,1,2.5,5.75,1.32
"Moderate Elimination",90,90,75,1,3.125,11.23,11.58
"Moderate Elimination",90,90,75,1,3.75,24.85,73.47
"Moderate Elimination",90,90,90,0,2.5,4.36,0
"Moderate Elimination",90,90,90,0,3.125,8.49,13.73
"Moderate Elimination",90,90,90,0,3.75,16.46,103.86
"Moderate Elimination",90,90,90,1,2.5,4.61,0
"Moderate Elimination",90,90,90,1,3.125,8.92,9.87
"Moderate Elimination",90,90,90,1,3.75,18.24,65.74
"Tight Suppression",50,50,60,0,2.5,55.94,1.6
"Tight Suppression",50,50,60,0,3.125,204.01,200.53
"Tight Suppression",50,50,60,0,3.75,275.64,374.14
"Tight Suppression",50,50,60,1,2.5,90.24,0.88
"Tight Suppression",50,50,60,1,3.125,697.43,203.63
"Tight Suppression",50,50,60,1,3.75,919.66,381.52
"Tight Suppression",50,50,75,0,2.5,37.48,0.44
"Tight Suppression",50,50,75,0,3.125,161.4,157.5
"Tight Suppression",50,50,75,0,3.75,237.1,341.14
"Tight Suppression",50,50,75,1,2.5,54.14,0
"Tight Suppression",50,50,75,1,3.125,452.31,144.75
"Tight Suppression",50,50,75,1,3.75,731.38,356.24
"Tight Suppression",50,50,90,0,2.5,27.98,0
"Tight Suppression",50,50,90,0,3.125,126.93,130.45
"Tight Suppression",50,50,90,0,3.75,202.78,312.11
"Tight Suppression",50,50,90,1,2.5,33.48,0
"Tight Suppression",50,50,90,1,3.125,314.9,113.93
"Tight Suppression",50,50,90,1,3.75,578.79,337.4
"Tight Suppression",50,75,60,0,2.5,41.07,0.83
"Tight Suppression",50,75,60,0,3.125,178.36,162.18
"Tight Suppression",50,75,60,0,3.75,258.53,329
"Tight Suppression",50,75,60,1,2.5,55.23,0.52
"Tight Suppression",50,75,60,1,3.125,425.71,134.84
"Tight Suppression",50,75,60,1,3.75,786.98,345.99
"Tight Suppression",50,75,75,0,2.5,29.58,0.65
"Tight Suppression",50,75,75,0,3.125,132.45,125.72
"Tight Suppression",50,75,75,0,3.75,214.96,268.9
"Tight Suppression",50,75,75,1,2.5,33.04,0
"Tight Suppression",50,75,75,1,3.125,281.29,109.18
"Tight Suppression",50,75,75,1,3.75,576.17,281.53
"Tight Suppression",50,75,90,0,2.5,23.31,0.5
"Tight Suppression",50,75,90,0,3.125,103.46,100.43
"Tight Suppression",50,75,90,0,3.75,175.15,214.61
"Tight Suppression",50,75,90,1,2.5,25.22,0
"Tight Suppression",50,75,90,1,3.125,183.42,84.17
"Tight Suppression",50,75,90,1,3.75,401.95,241.11
"Tight Suppression",50,90,60,0,2.5,36.38,0.74
"Tight Suppression",50,90,60,0,3.125,151.43,134.52
"Tight Suppression",50,90,60,0,3.75,237.03,273.56
"Tight Suppression",50,90,60,1,2.5,41.33,0
"Tight Suppression",50,90,60,1,3.125,342.2,123.81
"Tight Suppression",50,90,60,1,3.75,664.42,293.56
"Tight Suppression",50,90,75,0,2.5,25.94,1.22
"Tight Suppression",50,90,75,0,3.125,118.24,113.19
"Tight Suppression",50,90,75,0,3.75,190.96,205.01
"Tight Suppression",50,90,75,1,2.5,30.68,0
"Tight Suppression",50,90,75,1,3.125,226.82,92.39
"Tight Suppression",50,90,75,1,3.75,459.75,232.17
"Tight Suppression",50,90,90,0,2.5,19.59,0
"Tight Suppression",50,90,90,0,3.125,93.64,92.41
"Tight Suppression",50,90,90,0,3.75,153.04,179.12
"Tight Suppression",50,90,90,1,2.5,22.03,0
"Tight Suppression",50,90,90,1,3.125,148.26,80.47
"Tight Suppression",50,90,90,1,3.75,288.78,198.48
"Tight Suppression",75,50,60,0,2.5,40.97,0
"Tight Suppression",75,50,60,0,3.125,180.45,155.03
"Tight Suppression",75,50,60,0,3.75,261.06,336.29
"Tight Suppression",75,50,60,1,2.5,49.18,0
"Tight Suppression",75,50,60,1,3.125,523.61,129.72
"Tight Suppression",75,50,60,1,3.75,846.78,349.08
"Tight Suppression",75,50,75,0,2.5,26.86,0
"Tight Suppression",75,50,75,0,3.125,132.89,105.29
"Tight Suppression",75,50,75,0,3.75,226.38,303.73
"Tight Suppression",75,50,75,1,2.5,29.99,0.45
"Tight Suppression",75,50,75,1,3.125,331.58,90.44
"Tight Suppression",75,50,75,1,3.75,641.78,306.08
"Tight Suppression",75,50,90,0,2.5,18.55,0
"Tight Suppression",75,50,90,0,3.125,99.66,68.46
"Tight Suppression",75,50,90,0,3.75,181.72,233.36
"Tight Suppression",75,50,90,1,2.5,18.61,0
"Tight Suppression",75,50,90,1,3.125,212.01,59.29
"Tight Suppression",75,50,90,1,3.75,488.88,251.15
"Tight Suppression",75,75,60,0,2.5,32.55,1.65
"Tight Suppression",75,75,60,0,3.125,145.93,109.88
"Tight Suppression",75,75,60,0,3.75,244.01,280.99
"Tight Suppression",75,75,60,1,2.5,36.59,0
"Tight Suppression",75,75,60,1,3.125,369.42,96.13
"Tight Suppression",75,75,60,1,3.75,691.77,291.49
"Tight Suppression",75,75,75,0,2.5,21.84,0
"Tight Suppression",75,75,75,0,3.125,109.99,79.01
"Tight Suppression",75,75,75,0,3.75,198.93,213.09
"Tight Suppression",75,75,75,1,2.5,23.43,0
"Tight Suppression",75,75,75,1,3.125,197.05,66.08
"Tight Suppression",75,75,75,1,3.75,496.14,223.29
"Tight Suppression",75,75,90,0,2.5,15.58,0
"Tight Suppression",75,75,90,0,3.125,85.24,57.84
"Tight Suppression",75,75,90,0,3.75,147.55,172.82
"Tight Suppression",75,75,90,1,2.5,15.74,0
"Tight Suppression",75,75,90,1,3.125,135.59,41.93
"Tight Suppression",75,75,90,1,3.75,277.59,166.4
"Tight Suppression",75,90,60,0,2.5,28.47,0
"Tight Suppression",75,90,60,0,3.125,131.17,102.37
"Tight Suppression",75,90,60,0,3.75,216.79,216.6
"Tight Suppression",75,90,60,1,2.5,32.4,0
"Tight Suppression",75,90,60,1,3.125,269.73,89.31
"Tight Suppression",75,90,60,1,3.75,556.41,233.7
"Tight Suppression",75,90,75,0,2.5,19.77,0
"Tight Suppression",75,90,75,0,3.125,99.96,71.91
"Tight Suppression",75,90,75,0,3.75,168.42,181.76
"Tight Suppression",75,90,75,1,2.5,21.06,0
"Tight Suppression",75,90,75,1,3.125,169.14,58.38
"Tight Suppression",75,90,75,1,3.75,324,182.6
"Tight Suppression",75,90,90,0,2.5,14.66,0
"Tight Suppression",75,90,90,0,3.125,79.09,46.55
"Tight Suppression",75,90,90,0,3.75,134.36,165.58
"Tight Suppression",75,90,90,1,2.5,14.52,0
"Tight Suppression",75,90,90,1,3.125,112.69,39.66
"Tight Suppression",75,90,90,1,3.75,195.9,158.52
"Tight Suppression",90,50,60,0,2.5,28.16,0
"Tight Suppression",90,50,60,0,3.125,156.68,91.29
"Tight Suppression",90,50,60,0,3.75,256.67,321.12
"Tight Suppression",90,50,60,1,2.5,30.44,0
"Tight Suppression",90,50,60,1,3.125,444.27,96.72
"Tight Suppression",90,50,60,1,3.75,815.05,342.88
"Tight Suppression",90,50,75,0,2.5,19.26,0
"Tight Suppression",90,50,75,0,3.125,113.05,55.38
"Tight Suppression",90,50,75,0,3.75,205.25,232.99
"Tight Suppression",90,50,75,1,2.5,19.81,0
"Tight Suppression",90,50,75,1,3.125,245.07,44.51
"Tight Suppression",90,50,75,1,3.75,578.21,257.1
"Tight Suppression",90,50,90,0,2.5,13.66,0
"Tight Suppression",90,50,90,0,3.125,75.4,25.01
"Tight Suppression",90,50,90,0,3.75,154.62,164.18
"Tight Suppression",90,50,90,1,2.5,13.66,0
"Tight Suppression",90,50,90,1,3.125,113.3,18.83
"Tight Suppression",90,50,90,1,3.75,369.68,184.48
"Tight Suppression",90,75,60,0,2.5,25.22,0
"Tight Suppression",90,75,60,0,3.125,132.07,83.52
"Tight Suppression",90,75,60,0,3.75,231.92,238.95
"Tight Suppression",90,75,60,1,2.5,26.54,0
"Tight Suppression",90,75,60,1,3.125,279.63,68.99
"Tight Suppression",90,75,60,1,3.75,645.48,261.3
"Tight Suppression",90,75,75,0,2.5,16.77,0
"Tight Suppression",90,75,75,0,3.125,96.49,43.73
"Tight Suppression",90,75,75,0,3.75,171.7,170.33
"Tight Suppression",90,75,75,1,2.5,16.97,0
"Tight Suppression",90,75,75,1,3.125,150.74,36.25
"Tight Suppression",90,75,75,1,3.75,376.41,182.46
"Tight Suppression",90,75,90,0,2.5,12.34,0
"Tight Suppression",90,75,90,0,3.125,66.09,22.53
"Tight Suppression",90,75,90,0,3.75,134.14,155.34
"Tight Suppression",90,75,90,1,2.5,12.34,0
"Tight Suppression",90,75,90,1,3.125,85.72,17.19
"Tight Suppression",90,75,90,1,3.75,206.22,141.96
"Tight Suppression",90,90,60,0,2.5,22.81,0.45
"Tight Suppression",90,90,60,0,3.125,116.04,73.34
"Tight Suppression",90,90,60,0,3.75,206.28,194.55
"Tight Suppression",90,90,60,1,2.5,23.85,0
"Tight Suppression",90,90,60,1,3.125,215.73,64.71
"Tight Suppression",90,90,60,1,3.75,471.89,206.25
"Tight Suppression",90,90,75,0,2.5,15.43,0
"Tight Suppression",90,90,75,0,3.125,87.15,41.4
"Tight Suppression",90,90,75,0,3.75,155.08,164.92
"Tight Suppression",90,90,75,1,2.5,15.23,0
"Tight Suppression",90,90,75,1,3.125,128.72,31.89
"Tight Suppression",90,90,75,1,3.75,255.48,166.46
"Tight Suppression",90,90,90,0,2.5,11.57,0
"Tight Suppression",90,90,90,0,3.125,61.3,18.84
"Tight Suppression",90,90,90,0,3.75,124.73,150.3
"Tight Suppression",90,90,90,1,2.5,11.57,0
"Tight Suppression",90,90,90,1,3.125,75.49,9.86
"Tight Suppression",90,90,90,1,3.75,167.8,140.28
